agent_id,o_node_id,d_node_id,o_zone_id,d_zone_id,matching_link_from_node_id,matching_link_to_node_id,matching_link_id,node_sequence,geometry,time_sequence
89700,0,0,0,0,447,1811,4631,,"LINESTRING (-2.231799 53.4853053, -2.2319433 53.485231)",
89701,0,0,0,0,1811,1425,4632,,"LINESTRING (-2.2319433 53.485231, -2.2321473 53.4851291)",
89702,0,0,0,0,1425,1424,4633,,"LINESTRING (-2.2321473 53.4851291, -2.2323424 53.4850982, -2.2324885 53.4850218, -2.2325935 53.4849533, -2.2327208 53.4848781)",
89703,0,0,0,0,447,1811,4631,,"LINESTRING (-2.231799 53.4853053, -2.2319433 53.485231)",
89704,0,0,0,0,1811,1425,4632,,"LINESTRING (-2.2319433 53.485231, -2.2321473 53.4851291)",
89705,0,0,0,0,1425,2566,1486,,"LINESTRING (-2.2321473 53.4851291, -2.2322282 53.4850522, -2.2325016 53.4849003, -2.2325431 53.4848783, -2.2325764 53.4848586, -2.2325987 53.4848386, -2.2326101 53.4848053, -2.2326077 53.4847626)",
89706,0,0,0,0,1421,1124,2546,,"LINESTRING (-2.2327995 53.4847158, -2.2329428 53.4847719, -2.2331457 53.484872)",
89707,0,0,0,0,1421,1124,2546,,"LINESTRING (-2.2327995 53.4847158, -2.2329428 53.4847719, -2.2331457 53.484872)",
89708,0,0,0,0,1647,228,2554,,"LINESTRING (-2.2354432 53.486017, -2.2358571 53.4862853)",
89709,0,0,0,0,1425,2566,1486,,"LINESTRING (-2.2321473 53.4851291, -2.2322282 53.4850522, -2.2325016 53.4849003, -2.2325431 53.4848783, -2.2325764 53.4848586, -2.2325987 53.4848386, -2.2326101 53.4848053, -2.2326077 53.4847626)",
89710,0,0,0,0,2511,1422,5516,,"LINESTRING (-2.2328028 53.4848114, -2.2327899 53.4848599)",
