name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,VDF_fftt1
East 11th Street,238,256917834,346,343,,8.039092087,1,29,,residential,6,"LINESTRING (-111.9399592 33.4174561, -111.9399462 33.4174558, -111.9398726 33.4174547)",auto,0,0.016632604
East 11th Street,239,256917834,343,133,,2.663802834,1,29,,residential,6,"LINESTRING (-111.9398726 33.4174547, -111.9398439 33.4174549)",auto,0,0.005511316
East 11th Street,240,256917834,133,312,,295.9986826,1,29,,residential,6,"LINESTRING (-111.9398439 33.4174549, -111.9397819 33.4174542, -111.9396173 33.4174516, -111.9394931 33.4174529, -111.938321 33.4174654, -111.9382156 33.4174665, -111.9381365 33.4174674, -111.9380448 33.4174661, -111.9367627 33.4174821, -111.936655 33.4174833)",auto,0,0.612411067
East Apache Boulevard,241,256917835,402,131,,175.1345882,4,39,,primary,3,"LINESTRING (-111.9381583 33.415, -111.9385524 33.4151879, -111.9388391 33.4153857, -111.9391546 33.4156339, -111.9393959 33.4159185, -111.939442 33.4159929, -111.9394923 33.4160741)",auto,0,0.269437828
South Mill Avenue,242,256917836,94,47,,11.80983466,2,30,,primary,3,"LINESTRING (-111.9400695 33.4274911, -111.9400679 33.4273849)",auto,0,0.023619669
South Mill Avenue,243,256917836,47,41,,102.5817654,2,30,,primary,3,"LINESTRING (-111.9400679 33.4273849, -111.9400679 33.427282, -111.9400776 33.4264624)",auto,0,0.205163531
South Mill Avenue,244,256917836,41,216,,47.49142661,2,30,,primary,3,"LINESTRING (-111.9400776 33.4264624, -111.9400785 33.4260353)",auto,0,0.094982853
South Mill Avenue,245,256917837,184,217,,112.094951,2,30,,primary,3,"LINESTRING (-111.9398966 33.4219821, -111.9399104 33.422072, -111.9399143 33.422407, -111.9399634 33.422988)",auto,0,0.224189902
South Mill Avenue,246,256917838,145,176,,11.58195178,2,30,,primary,3,"LINESTRING (-111.9399635 33.4295773, -111.9399677 33.4296814)",auto,0,0.023163904
East Vista del Lago Drive,247,257009023,167,403,,117.4721024,1,29,,unclassified,11,"LINESTRING (-111.9211588 33.4293611, -111.9211588 33.4295021, -111.9211515 33.4297408, -111.9211468 33.4297978, -111.9211405 33.4298288, -111.921131 33.4298604, -111.9211149 33.4299012, -111.9210909 33.4299476, -111.9210636 33.4299886, -111.9210425 33.4300133, -111.9210217 33.4300348, -111.9210043 33.4300514, -111.920978 33.4300724, -111.9209597 33.4300862, -111.9209325 33.4301047, -111.9209091 33.4301195, -111.9208789 33.430136, -111.9208497 33.43015, -111.9208004 33.4301685, -111.9207659 33.4301789, -111.9207086 33.4301917, -111.9206533 33.4302)",auto,1,0.243045729
East Vista del Lago Drive,248,257009023,403,167,,117.4721024,1,29,,unclassified,11,"LINESTRING (-111.9206533 33.4302, -111.9207086 33.4301917, -111.9207659 33.4301789, -111.9208004 33.4301685, -111.9208497 33.43015, -111.9208789 33.430136, -111.9209091 33.4301195, -111.9209325 33.4301047, -111.9209597 33.4300862, -111.920978 33.4300724, -111.9210043 33.4300514, -111.9210217 33.4300348, -111.9210425 33.4300133, -111.9210636 33.4299886, -111.9210909 33.4299476, -111.9211149 33.4299012, -111.921131 33.4298604, -111.9211405 33.4298288, -111.9211468 33.4297978, -111.9211515 33.4297408, -111.9211588 33.4295021, -111.9211588 33.4293611)",auto,1,0.243045729
East Vista del Lago Drive,249,257009023,404,147,,83.83858437,1,29,,unclassified,11,"LINESTRING (-111.9205264 33.4302, -111.9203069 33.4301693, -111.920078 33.4301473, -111.9198489 33.4301386, -111.9196278 33.4301419)",auto,1,0.17345914
East Vista del Lago Drive,250,257009023,147,404,,83.83858437,1,29,,unclassified,11,"LINESTRING (-111.9196278 33.4301419, -111.9198489 33.4301386, -111.920078 33.4301473, -111.9203069 33.4301693, -111.9205264 33.4302)",auto,1,0.17345914
East Vista del Lago Drive,251,257009023,147,405,,52.05567038,1,29,,unclassified,11,"LINESTRING (-111.9196278 33.4301419, -111.9193373 33.4301632, -111.9190716 33.4302)",auto,1,0.107701387
East Vista del Lago Drive,252,257009023,405,147,,52.05567038,1,29,,unclassified,11,"LINESTRING (-111.9190716 33.4302, -111.9193373 33.4301632, -111.9196278 33.4301419)",auto,1,0.107701387
South Pier Drive,253,257009025,328,327,,85.71355018,1,29,,unclassified,11,"LINESTRING (-111.9180887 33.4301945, -111.9180874 33.4301039, -111.9180256 33.4299642, -111.9179775 33.4297874, -111.9179613 33.4296528, -111.9179597 33.4295193, -111.9179144 33.4294474)",auto,0,0.17733838
South Pier Drive,254,257009025,327,328,,89.60980677,1,29,,unclassified,11,"LINESTRING (-111.9179144 33.4294474, -111.9178674 33.4295174, -111.9178721 33.4296746, -111.9178889 33.4298045, -111.9179164 33.4299203, -111.9179533 33.4300311, -111.9180029 33.4301341, -111.9180887 33.4301945)",auto,0,0.1853996
South Kirkland Trail,255,257009026,325,326,,51.5784256,1,29,,unclassified,11,"LINESTRING (-111.919633 33.4299964, -111.919686 33.4299421, -111.9196893 33.4296321, -111.919635 33.4295616)",auto,0,0.106713984
South Kirkland Trail,256,257009026,326,325,,51.9897036,1,29,,unclassified,11,"LINESTRING (-111.919635 33.4295616, -111.9195794 33.4296293, -111.9195767 33.4299455, -111.919633 33.4299964)",auto,0,0.107564904
South Rural Road,257,264834598,16,279,,334.3530442,3,35,,primary,3,"LINESTRING (-111.9262237 33.4245026, -111.9262235 33.4245838, -111.9262174 33.4268401, -111.9262149 33.4275095)",auto,0,0.573176647
