gps_trace_id,agent_id,x_coord,y_coord,global_sec,interval,relative_sec,distance,speed
1,26296BA,-112.030781,33.631868,0,0,0,0.005024,0.005024,
0,26304AB,-112.013465,33.633541,0,0,0,0.000000,0.000000,
1,26304AB,-112.013355,33.626316,0,0,0,0.007226,0.007226,
0,26304BA,-112.013355,33.626316,0,0,0,0.000000,0.000000,
1,26304BA,-112.013465,33.633541,0,0,0,0.007226,0.007226,
0,26395AB,-112.013686,33.669646,0,0,0,0.000000,0.000000,
1,26395AB,-112.023074,33.669555,0,0,0,0.009388,0.009388,
0,26395BA,-112.023074,33.669555,0,0,0,0.000000,0.000000,
1,26395BA,-112.013686,33.669646,0,0,0,0.009388,0.009388,
0,26399AB,-112.022763,33.672640,0,0,0,0.000000,0.000000,
1,26399AB,-112.016932,33.672676,0,0,0,0.005831,0.005831,
0,26400AB,-112.016896,33.672914,0,0,0,0.000000,0.000000,
1,26400AB,-112.024308,33.672877,0,0,0,0.007412,0.007412,
0,26403AB,-112.030834,33.662276,0,0,0,0.000000,0.000000,
1,26403AB,-112.030877,33.655021,0,0,0,0.007255,0.007255,
0,26403BA,-112.030877,33.655021,0,0,0,0.000000,0.000000,
1,26403BA,-112.030834,33.662276,0,0,0,0.007255,0.007255,
0,26404AB,-112.022198,33.655059,0,0,0,0.000000,0.000000,
1,26404AB,-112.030877,33.655021,0,0,0,0.008679,0.008679,
0,26404BA,-112.030877,33.655021,0,0,0,0.000000,0.000000,
1,26404BA,-112.022198,33.655059,0,0,0,0.008679,0.008679,
0,26653AB,-111.977549,33.640597,0,0,0,0.000000,0.000000,
1,26653AB,-111.968658,33.640511,0,0,0,0.008891,0.008891,
0,26653BA,-111.968658,33.640511,0,0,0,0.000000,0.000000,
1,26653BA,-111.977549,33.640597,0,0,0,0.008891,0.008891,
0,26708AB,-111.977408,33.655191,0,0,0,0.000000,0.000000,
1,26708AB,-111.977434,33.656078,0,0,0,0.000887,0.000887,
0,26708BA,-111.977434,33.656078,0,0,0,0.000000,0.000000,
1,26708BA,-111.977408,33.655191,0,0,0,0.000887,0.000887,
0,26715AB,-111.977169,33.680439,0,0,0,0.000000,0.000000,
1,26715AB,-111.975555,33.684258,0,0,0,0.004146,0.004146,
0,26715BA,-111.975555,33.684258,0,0,0,0.000000,0.000000,
1,26715BA,-111.977169,33.680439,0,0,0,0.004146,0.004146,
0,26751AB,-111.960318,33.633265,0,0,0,0.000000,0.000000,
1,26751AB,-111.960331,33.625981,0,0,0,0.007284,0.007284,
0,26751BA,-111.960331,33.625981,0,0,0,0.000000,0.000000,
1,26751BA,-111.960318,33.633265,0,0,0,0.007284,0.007284,
0,26780AB,-111.960053,33.657618,0,0,0,0.000000,0.000000,
1,26780AB,-111.960037,33.663638,0,0,0,0.006020,0.006020,
0,26797AB,-111.956017,33.663385,0,0,0,0.000000,0.000000,
1,26797AB,-111.960037,33.663638,0,0,0,0.004028,0.004028,
0,26797BA,-111.960037,33.663638,0,0,0,0.000000,0.000000,
1,26797BA,-111.956017,33.663385,0,0,0,0.004028,0.004028,
0,26835AB,-111.942771,33.656659,0,0,0,0.000000,0.000000,
1,26835AB,-111.942643,33.660368,0,0,0,0.003711,0.003711,
0,26896AB,-112.025744,33.699339,0,0,0,0.000000,0.000000,
1,26896AB,-112.030768,33.691757,0,0,0,0.009095,0.009095,
0,26896BA,-112.030768,33.691757,0,0,0,0.000000,0.000000,
1,26896BA,-112.025744,33.699339,0,0,0,0.009095,0.009095,
0,27025AB,-111.942783,33.698669,0,0,0,0.000000,0.000000,
1,27025AB,-111.947630,33.698685,0,0,0,0.004847,0.004847,
0,27025BA,-111.947630,33.698685,0,0,0,0.000000,0.000000,
1,27025BA,-111.942783,33.698669,0,0,0,0.004847,0.004847,
0,28009AB,-111.907769,33.634453,0,0,0,0.000000,0.000000,
1,28009AB,-111.916746,33.636333,0,0,0,0.009172,0.009172,
0,28009BA,-111.916746,33.636333,0,0,0,0.000000,0.000000,
1,28009BA,-111.907769,33.634453,0,0,0,0.009172,0.009172,
0,28049AB,-111.929995,33.655104,0,0,0,0.000000,0.000000,
1,28049AB,-111.925333,33.655166,0,0,0,0.004662,0.004662,
0,28049BA,-111.925333,33.655166,0,0,0,0.000000,0.000000,
1,28049BA,-111.929995,33.655104,0,0,0,0.004662,0.004662,
0,28060AB,-111.925356,33.656764,0,0,0,0.000000,0.000000,
1,28060AB,-111.925333,33.655166,0,0,0,0.001598,0.001598,
0,28060BA,-111.925333,33.655166,0,0,0,0.000000,0.000000,
1,28060BA,-111.925356,33.656764,0,0,0,0.001598,0.001598,
0,28084AB,-111.925351,33.664597,0,0,0,0.000000,0.000000,
1,28084AB,-111.925412,33.662909,0,0,0,0.001689,0.001689,
0,28084BA,-111.925412,33.662909,0,0,0,0.000000,0.000000,
1,28084BA,-111.925351,33.664597,0,0,0,0.001689,0.001689,
0,28451AB,-111.925390,33.698689,0,0,0,0.000000,0.000000,
1,28451AB,-111.925400,33.705903,0,0,0,0.007214,0.007214,
0,28451BA,-111.925400,33.705903,0,0,0,0.000000,0.000000,
1,28451BA,-111.925390,33.698689,0,0,0,0.007214,0.007214,
